anchor,positive,hard_negative
Myospas F,Cip-Zox,Myospaz
Solucef 200mg,Zoftax O 50mg Dry,Solucef AZ 200mg/250mg
Cadxone 500mg,Realone 250mg,Cadxone XP 250mg/125mg
Fixiriv Dry,Bioxime 200mg,Fixiriv CV Dry
Xxone 250mg,Cefkia 1000mg,Xxone S 1000mg/500mg
PM 250mg/5ml,Blemol 250mg,Nuprin Plus
Necef 500mg,Cefta One 500mg,Necef S 500mg/250mg
Ziclofenac S 50mg/10mg,Depain-SR,Ziclofenac 75mg
Tenark 20mg,Tenebite,Tenarbi 80
Mofecon 500,Ponophen 500,Mofecon-S 360
Cefika S 1000 mg/500 mg,Lucetum Forte,Cefikos-OZ 200mg/500mg
Blenac-MR,Tora 100mg/500mg,Melodol
Santron 8mg,Wellvodi 4mg,Santra IT 40mg/150mg
Azidor 500 LB,Amozith 250,Azidoc 200mg
Wockace,Modace 100mg/500mg,WOCKADINE
Cefolin 200,Fixinox 50mg,Cefolin 200mg
Clotof M,Necsole-GM,Clotof GM
Trilotuss-D,Trigenic-CS,Trilodol-P
Lotemp Oral,Fevanil 250mg,Inmecin P 25mg/325mg
Ticef 1000mg,Hixon 2000mg,Ticef 200mg
Fastace P,Dolex P 100 mg/500 mg,Fastac Toothace 10mg
StayHappi Diclofenac+Serratiopeptidase 50mg/10mg,Pepsan D 50mg/10mg,Xmas Topical
Pyro 650mg,Uasta,Thiobit Plus 325mg/4mg
Rismocef 1gm/0.5gm,Goncef S 1000mg/500mg,Rismore LS 2mg/2mg
Ultranim 200mg,Nimus 100mg,ULTRA K 50MG
Emozine 5mg,OSET 8 MG,Emozip 0.25
Orex-D,Elginoz Plus,Orex-DX
Movacam 15mg,Ecwin 10mg,Melodol
Rabemac Itr 20 mg/150 mg,Rabicell IT 20mg/150mg,Rabemek-DSR
Wayflam-P,Acelosky 100mg/325mg,Wayflam-TH 4
Ceftizer 250mg,Notriax 500mg,Elores 1.5gm
Proctinal 1.25mg,B Crip 1.25mg,Proctogard T
Avitacef 50 Dry,Cefbid 50mg Dry,Avitacef-AZ Dry
Theotrax SB 1000mg/500mg,Bronzacef SB 1000mg/500mg,Theotech 400mg
Glendan 4mg,Onrif 4mg,Glendep
Beryfit 50mg,Hi-Cef 50mg,Beryflox
Cefivew 500,Robitrax 250mg,Cefivew 1500
Invog 0.2mg,Starvog 0.2,Invog M 500mg/0.3mg
Leadcef 1gm,Aptacef 250mg,Capricef TX 1000mg/125mg
Vincef 200mg,Fixbase 200,Vincef 100
NG Cef S 1000mg/500mg,Bruiser S 250mg/125mg,NG Cef 1000mg
Chimal 500mg,Aprofen,Chimarin 140mg
A Extra 200mg,Acikinz-SR,Avace P
Idemol 100mg Oral,Lanto P 650mg,PYREMOL IB 100 MG/162.5 MG
Lignox,Fisdom Jelly,Oralix
Cedil 250 mg/31.25 mg,Tazopime 1000 mg/125 mg,Cedil 500mg
Vilide 100 MD,Nimlodi 200mg,Vilide-P
Keftac 500mg,Ceftiway 1000,XL V 1000 mg/500 mg
Cefaks 1000mg,Kosceft 250mg,Cefakind 250
Akceft 500mg,Mahixon 500mg,Akceft S 250mg/125mg
Retricef 50mg,Dexim O,Retricef AZ 200mg/250mg
Oxy 250mg,Auditrox 1000mg,Oxy 200mg
Rabimor-ISR,Rabdon-ITR,Rabimits-DSR
Vioceft S 1000mg/500mg,Decef-S 375,Viocef 1000mg
Mefdan P,Mifee Plus,MEFDATE 250MG/250MG
Daneecef 100mg,Xim 200mg,Clomid-CL 200mg/125mg
Flanil 100mg/500mg,Ottace-SP,Belic 10 mg/325 mg
Triocef 200mg,Uvxim 100mg,Seftica-CV 200mg/125mg
Pyrigesic 650,Neopar 650mg,Pyrigesic T 325mg/37.5mg
Endcef 200 DT,Tofix 200mg,Endcef-O
Accept-SP,Zefinac 100mg/325mg,Accept 200mg
Flaxinac 200mg,Aeronac,Acesic TZ 100mg/2mg
Acedor Plus 100mg/325mg,Avopact-S,Flexinol 325 mg/400 mg
Algic,KETOSCAN 10MG,Aegamox-KT
Ecwin 7.5mg,Movac 15mg,Melodol
Hofim 200mg,Cefdac 50mg,Purefix LB 200mg
Paravery 650,Paral 650mg,Paravery Plus
Fivocil 500mg,Fludin 500mg,Fivocet M 5mg/10mg
Quinobid TZ 200 mg/600 mg,Choiceflox OZ 200mg/600mg,Quinopic 150mg
Glunil,Timlol-PF,Timolet Plus
Blupimef P DS,Nimact R,Listaspas 50mg/325mg
Aclo 100mg,Nactamol-200 SR,Ascapar MR 100mg/2mg
Volitaz 0.2mg,VOGLISIS 0.2MG,Vogliboz M 500 mg/0.2 mg
Fulstrch M,Cruxol A 100mg/325mg,Fulstop
Riomol 650mg,Opara Semi,Riomont 20mg
Kanclofen D 50mg/15mg,Diclomol SP 10,Kanclav 500mg/125mg
Napromol 10mg,Pacimol XP,Naprosyn D 250
Livocefix 200mg,Eximon 200mg,Livocet AM
Nimuvent MD,Nimunip 100mg,Nimuvista Plus 100mg/500mg
Eecef S 250mg/125mg,Nekcef S 1000mg/500mg,Eecef-T 281.25
Relisin-P,Astofen-P,Relisulide 50mg
Tecdol-SP,Aculum-MR,Tecdol-TP
Rabby IT 20mg/150mg,Ruto IT 20mg/150mg,Rabby DM 10 mg/20 mg
Acefem 200mg,Aclozen 100mg,Cytonac 100 mg/100 mcg
Nimdex 100mg,Nimumac 50mg,Nimdex P
Axid O,Selfate O,Axidol 50mg
Zingcef S 1000mg/500mg,Leezone S 1000mg/500mg,Tromacef XP 1000mg/125mg
Zubik 500mg,Mcef 1000mg,Zubik S 250mg/125mg
Trexorix E 500mg/250mg,Naxic-E,Trexo MF
Mozef-SB 375,Jacef-SB 250mg/125mg,Mozef 1000mg
Dolvex,Pmol M 500mg/325mg,Unigesic K 50mg/500mg
Cinaryl Pead,Lenkold DS,Codimarc 4 mg/10 mg
Dornac P 100mg/325mg,Mofenac P 100mg/325mg,Etrik P
Trabzid IT 20mg/150mg,Rabefem Itr 20mg/150mg,Trabzid-AX
Biocef 1g,Siblocef 1000mg,Biocef 300mg
E Cef 125mg,Grapzone 1gm,Elores 1.5gm
Dynasun S 50mg/10mg,Seropep D 50mg/10mg,Butapar
Kayfix 50mg Dry,Timezit 100mg,Kayfix-OL
Wolvix 100mg,Refexim 200mg,Wolvix LB 200mg
Coldnix,Naseral Plus,Coldnac-A
Vellxone 1000mg,Mcef 1000mg,Vellxone SB 250mg/125mg
Amidol,Fnil 125mg,Amidox 100mg
Leemol,Dolxor 100mg Oral,Epitag Plus 50mg/325mg
Lenac Plus,Instana 200 mg/325 mg,Lenac 200mg
Myofen CX,Dofynac-MR,Myofenac
Cefiglow 50mg Dry,Welxime 200mg,Cefiglow 200
Volmol P,Spin-SP,Volmol TH 100mg/4mg
Ecsept D,Tidifenac S 50mg/10mg,Ecsept
Ondanic 4 Orally Disintegrating,Vomisoz 4mg,Tufcid ON
Itracef S 250mg/125mg,Rxone 250mg/125mg,Itrachem 100mg
Ceficod DS 50 mg Dry,Colxime Dry,Monarquin Plus
Albiclid 25mg,Tremadin 5,Albiclat 500mg
Wontrax SB 250mg/125mg,Sanceft-SB 250mg/125mg,Wontret 10mg
Genericart Diclofenac+Serratiopeptidase 50mg/10mg,Eldiser 50 mg/10 mg,Genericart Domperidone+Pantoprazole 10mg/40mg
Cefitaz 1.125gm,Appime T 500mg/62.5mg,Zonefor TZ 500mg/62.5mg
Ceft 100mg,Refexine 100mg,Cef-T 1gm
Dintiz,Febrex Plus,Dintiz NP
Zandril Plus,G Cold Plus,Zandril M 5mg/10mg
Amifast Plus 100mg/500mg,Acetech P 100mg/500mg,Bycold
Lifogesic,Nilimol,Lifogesic 25mg/ml
Doxofast T 5mg/400mg,Veez T 5mg/400mg,Doxoford-M
Capridase 50mg/10mg,Aurodis,Hifein 75mg
Stilcold,Zukamin Plus,Stilcold Plus
Clobetace GM,Clotop M,Zincoderm-S
Itrex 250mg,Cefxi 250mg,XL V 1000 mg/500 mg
Yetzone 1000mg,Trialex 1000mg,Yetzone T 1000mg/125mg
Lariten 20mg,Telnimac 20mg,Laritova Dry
Clotmax 250mg/250mg,Manoguard 250 mg/250 mg,Clotmic MF 500mg/250mg
Fenap-S 50mg/10mg,Serranit D 50mg/10mg,Fenaplus
Alpalide 100mg,Nimbid 50mg,Alpalide Plus 100mg/500mg
Pangerd HP,My-HP,Pangee 40mg
Neulite S,Nimunip 100mg,Neulite Plus
Serous D,Serazyme-DP 50mg/10mg,Brutide-D
Kxime 100mg,Zifi 100 Readymix,K-Xime O 200mg/200mg
Clobnate-M,Clobial-GM,Soristop-C
Gemciglan 1gm,Gemizan 200mg,Gemita 1000mg/62.5mg
Flexase P 100mg/500mg,Nutraflam-SP,Flexaid D
Ocef 1000mg,Robitrax 125mg,Cutrax TB 1000mg/125mg
Avil Advance,Lorag 10mg,Avilan 40mg
Fexacef 100mg,Ioxim O 100mg,Fexacef 1000mg
Albix 100mg,Tagcef 200mg,Albix O 200mg/200mg
Selide 100mg,Minsu-MD,Anafortan N 100 mg/50 mg
Elnac P,Acin Plus 100 mg/500 mg,Sinarest LP
Osteonec 200mg,Canefo 100mg,Osteoflam AQ 75mg
Zumoceft S 1000mg/500mg,Rokcef 250 mg/125 mg,Vanco Plus 1000 mg/500 mg
Unoflox T 200mg/600mg,Aqlox TZ 200mg/600mg,Unoflox 200mg
Synerzen,Aceclorite Plus 100 mg/500 mg,Prestigesic
Ketoprofen,Infen Plaster,Spifen MR 50mg/4mg
Cnoxt 100mg,Cefria 200mg,C Nox T 1000mg/125mg
Cloviz 500mg,Gram PN 250mg,Cloviz S 250mg/125mg
Cefaglen Forte 100mg Dry,Vanocef-DS 100,Cefaguard CV 500mg/125mg
Abixim 200,Cefixent 50 DS Dry,Abixim O
Qvcef 100 Dry,Unifixime 100mg,Qvcef-O
Jox TZ 200mg/600mg,Oven TZ 200mg/600mg,Qlox 400mg
Oroton 4mg,Vorast 8mg,Doran-O 4mg/50mg
Voltanec 100mg,Acetis SR 200,Voltaran 50mg
Dolonip 500mg,Linpar 650mg,Dolonip 20mg
Tecxone 1000mg,Triczon 250mg,Tecxone Forte 1000mg/500mg
Relace-MR,Runset-SP,Phena P
Ticmol IV,Biocetamol IV 1000mg,Ticmoxy 500mg
Wudupara-Mds,Arden MF,Lexicold
Canfla DB 1000mg/500mg,Axitrix S 1000mg/500mg,Inpime 1000mg/500mg
F Celo 100mg/500mg,Trofen P 100 mg/325 mg,Zema P
Aceflow P 100mg/500mg,Uskil-CT,Aceflox 400mg
Happi-IT,Rabedol IT 20mg/150mg,Happi-D
Abixim,RANIXIME 200 MG,Abixim O
Cyfic 50mg Dry,Thecef 200mg,Cyfic-SB
Zelcef 500mg,Cefiroxx 500mg,Zelcef TZ 1000mg/125mg
Avzol I 20mg/150mg,Rabstep-IT,Avzol-DSR
Saxon-S 1000mg/500mg,Imunocef S 1000 mg/500 mg,Saxon-D 50mg/10mg
Cadcef 200mg,Redicate DS,Cadcef TZ 250mg/31.25mg
Mefmine,Nefmic Forte 500mg/325mg,Mefmin Spas
Onditrax 4mg,N Tron 4mg,Acidom O 4 mg/150 mg
Ondific 4mg,Ondem,Racidom O
Kexi Dry,Fiximfresh 200mg,Kexid 20mg
Acocef 250mg/125mg,Adeone-S Plus,Acocef 200 DT
Ojocef 1000mg,Siloxon 1gm,Ojocef-S 1.5
Dolobest P 100 mg/500 mg,Abate-CZ,Dolobid 50mg/15mg
Grenac SP,Molsee 100mg/325mg,Grenate 5mg
Azilius 500mg,Jacin 250 LB,Azilin XL 100mg/5ml
Oritus D Syrup New Improved,Askoff D,Estrakof D
Cricef SB 250mg/125mg,Tecxone SB 1000mg/500mg,Cricef 250mg
Orceft 2000mg,Traxar 1000mg,Finecef-T 1.125gm
Mediclof P 100mg/325mg,Niyafen-MR,Medicef O 200mg/200mg
Cefzoon SB,Cotyx-S 375mg,Cefzoc 100
Cefidol 100mg,Cefidaz 100 DT,Cefidol 200 LB
Cefobactam 1000mg/500mg,Notriax SB 1000mg/500mg,Cefobang 375mg
Lametec 50 DT,Lemit 25,Lam ET 0.5mg
NU 650mg,Pyracron 650mg,Clofedac-SP
Ceftrax 100 Dry,Manfex 200mg,Ceftraphy
Supresmax C,Zukansi,Trikool
Tusq-D Cough Lozenges Orange,Tusq-D Cough Lozenges Sugar Free,Fastosil Lozenges Orange
Nam Safe-Forte,Meftinac P,Sedacam-P 8mg/325mg
Exsancef 400mg,Cezifix 50,Cxl OZ 200mg/500mg
Cantocef 250,Sonoxone 500mg,Cantocold Syrup Strawberry
Angilo H 50mg/12.5mg,Lanxes H 50 mg/12.5 mg,Angilos AM 50mg/5mg
Ultimac 100mg,Acemark 200mg,ULTIMOX
Declocap,Serromac D 50mg/10mg,Declor 20mg
Rafaxone SB 250mg/125mg,Troxom-S 250mg/125mg,Rafaxone 500mg
Venidol 650,Paralad 100mg Oral,Venidol P 37.5mg/325mg
Acewill P 100mg/325mg,Stalace-P,Acewin OD
Acfeo 200mg,Nyoflam 100mg,Acfeo TH 100mg/4mg
Ovidine M,Mepzine,Ovidine Jar
Rizet DX Jr Syrup Kiwi,Magnatuss-DX,Rizet EX Jr Syrup Raspberry
Clomik-MN,Sonaderm M,Clomigene 25mg
Ondemet 4mg,Azotron,Renvorab-ON
Alcef S 250mg/125mg,Wilone S 250mg/125mg,Alceft O
Cipladine M,Metazer,Ciplactin Plus
Milenim 100mg,Topmide 100mg,Milenium
Paraclo Plus 100mg/325mg,Atyad AP,Paracetamol
Cwiz 200mg,Ikva-Cef Dry,Cefivin SB 200mg/150mg
Lupimol 150mg,Famol,Lupimon L 5 mg/10 mg
Omisafe 1gm,Lorisol 1000mg,Zylocef T 250 mg/31.25 mg
Cefex 1000mg,Qxone 250mg,Cefex 200mg
Livzone 500mg,Fumazone 500,Elores 1.5gm
Texacef 1000mg,Arsecef 1000,Texacef 50mg Dry
Aphexine 200mg,Ceficad O 50mg Dry,Xibit O DX 200mg/500mg
Remexin 200mg,Percef 200mg,Remex DS Dry
Hycret 20mg,Vistaglipt 20mg,Hycret M Forte 1000mg/20mg
Assert-P,Ubernac-MR,Teplota Dyc 20mg/325mg
Pacinova M DS,Neomef-P,Pacin Bru 400mg/325mg
Sonocef 100mg,C Tax-O 100mg,Sonocef 500mg
Bestova 100,E-Ova M 100,Bestoflox TZ 200 mg/300 mg
Vicef 2,Seprix 1gm,Vicef T 500mg/62.5mg
Acherox,Tenace-P,Acherox Thio 100mg/4mg
Veno-MR,Komdol-P Oral Suspension Mango,Venomez 20mg
Dixone 250mg,Dalceft 1G,Vicef-T 1.125
Mefil P,Meftek Forte 500mg/325mg,Mefilong-P
Lyser-D,Vrini,Lysera-AP
Medostat-E,Nexafen-E 500mg/250mg,Medosore-DSR
Tanco Plus 100mg/500mg,Mobicip 100 mg/500 mg,Tancodep 5mg/25mg
Pyrizen 125mg,Rexia,Pyriza 750mg
Acfeo P 100mg/325mg,Aceked-MR,Acfeo TH 100mg/4mg
Xonefit-S 1.5gm,C One SB 250mg/125mg,Xonefit-T 1.125
Prace-SR 200,Aclovin 200mg,Prace-P
Stepha S 1000mg/500mg,Spaxone S 1000mg/500mg,Stepha 250mg
Ncold New,Aftercold,Ncold
Clotrol M,Hanclo,Clotrin-AC
Amtrone 4mg,Ondexis,Amtro 500mg
Gavixim 200mg,Jagnor 50mg Dry,Gramocef L 200 mg/600 mg
Gluace SP,Vetory SP,Gluace TH 100mg/4mg
Intocef 250mg,Ceftoliv,Intocef 250mg/125mg
Cemol 125mg/5ml,Rupar Junior 250mg/5ml,Doloforce Plus
Restorn 4,Vezron 4mg,Restopax 50mg
IG-Cold,Eliset-Cold,IG Cold
Myorate P 100mg/325mg,Kedac P 100mg/500mg,Myorate 100mg
Mefentod Plus,Nitmol M,Delpodol P 325mg/37.5mg
Tenewal 20mg,Tenekind 20mg,Tenewohn M 500mg/20mg
Cedro CF 200mg,Medifix 200mg,Cedroin 90mg
Fexim 200mg,Cafidol 100mg,Fexim OF 200mg/200mg
SDP 50mg/10mg,Serdifix D 50mg/10mg,Synofia
Volitaz 0.2mg,Voglitor MD 0.3,Volitra P 50mg/500mg
Myocef 200mg,Taxfax 200mg,Myocetamol
Willgo SP,Acewok P 100mg/325mg,Willgo TH 200 mg/8 mg
Ticmol IV,Paraband 75mg,Dexia 650mg/65mg
Miclofen Plus,Diogrip SP,Miclogenta N
Tremendus 200mg,Toroxx TX,Tremendus-SP
Molvoid-IV,Senmol 250mg,Molvon M Duo
Arnacef 100mg,Maxicef 200mg,Arnac P
Voglicad 0.3mg,Ppvog 0.3mg,Vogli Rapid 0.5mg/0.2mg
Cefimo 100mg,Yuvicef 100,Nomxime-D 200mg/500mg
Losaden 8mg/12.5mg,Lopt-H,Losaden 50
Dopakinde,Dopanis 40mg,Dopakit 325mg
Pmson-ER,Pamoral 650,Cyclomek-SP
Azonim 100mg,Nimucil 100mg,Azonic 250
Vcef O 200mg,Vavix 200mg,Cefikab-O
Nimuvin 200mg,Kazolid,Nimuvin Plus
Cefaxone 0.5gm,Theotrax 250mg,Cefaxil OZ 200mg/500mg
Otxone SL 250mg/125mg,Inicef S 250mg/125mg,Otxone T 1000mg/125mg
Arocef 1000mg,Eftanu 1000mg,Arocef 200mg
Dolomas 200mg,Awnec 100mg,Dolomec MF
Setrin 2mg,Ondem 8,Setri 10mg
Mandox 1000mg,Cefcore 500mg,Mandox 100mg
Credflam 200mg,Dolex 25mg,Credflox OZ 200mg/500mg
Stopper P,Fluzet,STOP-PLUS 250MG/250MG
Qxone 500mg,Lorisol 1000mg,Qxone S 1000mg/500mg
Ensor D 50mg/10mg,Closera 50 mg/10 mg,Ensorex 50mg
Spazone,Ronec MR,Spazole DM 10mg/20mg
Dynapar S 50mg/10mg,Astodol S 50mg/10mg,Dynapar LD
Glucomol 0.5%,Theot,Iobrim T
Zoxinace P 100mg/325mg,Acelic P,Zoxin
LENAGESIC 250MG/500MG,Mekaz,Lenaget 10mg
Prozinn MD,Stemil 5mg,Prozine 50mg
Neosulide 100mg,Nimace 100mg,Neosulide Plus
Mahatax 50mg Dry,Symfix 50mg Dry,Mahatax O 200mg/200mg
Paraneo-SP,Aclosec,Paranim
Yevozen 100mg,Zime 200mg,Yevozen 1000mg
Zocin TZ 200 mg/600 mg,Nortul TZ 200mg/600mg,Zocin 300mg
Mietrex S 250mg/125mg,Gausebact SB 1000mg/500mg,Aldecef S 200 mg/150 mg
Nuronim,Nimcept 100mg,Nuronift Forte
Mezoser 50mg/15mg,Densera-D,Mezoser 3D
Traxar S 250mg/125mg,Roxzone SB 1000mg/500mg,Traxar T 250mg/31.25mg
Paciwel 650mg,Paralen 650mg,Myosone Plus
Dixer S 50mg/10mg,Seration DF 50 mg/10 mg,Dixer
Zardcef-S 750,Jaducef S 1000mg/500mg,Zardcef 1gm
Novofenac,Lcnac P 100mg/325mg,Novofran 200mg
NT-Frost,Hinoz,NT Frost P
Thermal-S,Coldvec Oral,Thermapy CL
Forte-MR,Diclones-MR,RID PLUS 50 MG/100 MG
Oralis 2mg,Niktron 4mg,Oraliv 300mg
Ucef 1gm,Bluxone 250mg,U Cef 1500mg
Kritcid O,Sucrola,Kritcef Dry
Infeczon 500mg,I Tone 1000mg,Infecef 1000mg/500mg
Uskil-CT,Yamnac-SP,Zall-Pace 5mg/500mg
Kancold DS,Exkof Ccf,Kancold A 0.1%
Gransaid P 100 mg/500 mg,Aceroc P 100 mg/500 mg,Granspas 10mg/250mg
Pretac Plus,Jetflam-AS,Pretam 400mg
Cafzone 1000mg,Zelcef 1000mg,Unizone T 1000mg/125mg
Icobit P 100mg/325mg,Flexiflam S,Eprytor-Plus
Vaycef 1G,Kexone 1000mg,Vaycef 200mg
Splint-A,Aclolab-SP,Splint Plus
Avicef 100mg,Seefix 200mg,Avicet M 5mg/10mg
Lyric P 100mg/325mg,Ara-MR,Lyrica 75mg
Doly 200mg,Fap 100mg,Doly 500mg
Theopl 125mg,Leemol,Etoload P 400mg/500mg
Elopy H 50mg/12.5mg,Covance-D,Elopy 50mg
Vomiguard 4mg,Onstal 8mg,Penbus-O 40mg/4mg
Nexcef 200mg,Qucef 100mg,Nexcef 500mg
Zerinorm 4mg,Onest 4mg,Zerinorm 5mg
Selfate O,Tpcral O,Selfate 1000mg
Venac D 50mg/10mg,Synotrip-D,Venacid
Aipara 650mg,Mythene 650mg,Imol 400 mg/333 mg
Xorcid O,Mucoguard,Xorcid
Ceftzer S 250mg/125mg,Ticocef S 250mg/125mg,Ceftzer 500mg
Starnac 150mg,Olenase 200mg,Starnac TZ 100mg/2mg
Kiocef 50 Dry,Kavfix 200mg,Sincef O 200mg/200mg
Ethixime 100mg,Cefnil 200mg,Ethixime OZ 200mg/500mg
Rubiset 4mg,Trytron 4mg,Rubispor 200mg
Snufix 100mg,Retrafix 200mg,Cefimak DX 200mg/500mg
Cefton 1g,Cenzox 1000mg,Cefton 50mg
Antinims 100mg,Pronim 50mg,Camifort N
Cefitaxe 100mg,Cefstat 200mg/5ml Dry,Btcef CV 200mg/125mg
Carefix 50mg Dry,Cefruxim 50mg,Carefex 250mg
Corvette 200mg,Sehcef 100mg,Corvestin 250mg
Serofin-AP 100mg/325mg,Acelomag P 100mg/500mg,Seroflo 50
Epixone 250mg,Meceff 250mg,Epixone-TZ 1gm/125mg
Rabip-IT,Tiruzirab IT 20mg/150mg,Rabipan 20
Lafudac D 10 mg/30 mg,Lafukem D 10 mg/30 mg,Ilpa D 30mg/10mg
Vaxim 100mg,Receft O 200mg,Vaxim CV 200mg/125mg
Gaticef SB 1000mg/500mg,Bacef S 250mg/125mg,Gaticon-HS
Fecilix-S 375mg,Konet S 1000mg/500mg,Astafix SB 200mg/150mg
Acilonic-P,Osteofen P 100mg/500mg,Acilox 125 mg/125 mg
Mono G 1000mg,Wellcef 250mg,Vanco Plus 2000 mg/1000 mg
Gemdrin 5,Trodin 5mg,Gemdrol 16mg
Sinkoryl,Krish Cold,Sinkoryl Plus
Serry D 50mg/10mg,Serko D 50mg/10mg,Necse 50mg/325mg
Zodem 2mg/5ml,Ontron,Zodem 5mg
Clovcef 250mg,Alcef 250mg,Clovcyp
Evaflam 100mg/325mg,Acesol Plus,Evaflox 400mg
Loftidase 50mg/10mg,Dicfine S 50 mg/10 mg,Loftidase-SP
Metamol 650mg,Tuslo 125mg/5ml,Metamol 5mg/500mg
Eecef 500mg,Kanceftri 500mg,Eecef 100
Netrab-AP,Asozen-Plus,Netrab 20mg
Cystop-A,Benforce-M,Glyfloz-M 5mg/500mg
Actamase 1000 mg/125 mg,Forthcef TZ 250mg/31.25mg,Actam 250
Citoflam,Aclofk P 100mg/325mg,Citofast X 0.5 mg/10 mg
Dicorest 50mg/10mg,Corgesic S 50mg/10mg,Dicorate ER 250
Zegcef 250mg,Ceftrin 1000mg,Zegcef S 500mg/250mg
Infimol 100mg,Acimol 500mg,Infimont LC 5mg/10mg
Glibocer 0.2mg,Vobipil 0.2mg,Glibocer M 500mg/0.3mg
Cefbid 50mg Dry,Emfix 50mg,Cefbil 100mg
Xoftad 1000mg,Ceftrivin 250,Xoftad S 500mg/250mg
Anaclo P 100mg/325mg,F Dol Plus 100mg/500mg,Anaclav LB 500mg/125mg
Xonecot S 1000mg/500mg,Cefodoz-SB 1.5gm,Bacmox
Zonvin S 250mg/125mg,Ceftagard S 250mg/125mg,Zonvin 500mg
Mefomic P,Mefset,Mefomic 20mg/250mg
Arocef 500mg,Medocid 1000mg,Elores 1.5gm
Siglyn 50,Sitapride 100,Siglyn M IR 50/500
R Sim 100mg,Cefivan 100mg,Velaxim-O
Aldase-D 50mg/10mg,Dicomol S 50mg/10mg,Etrogod SP 60mg/10mg
Accos P 100mg/325mg,Avigesic P 100mg/325mg,Resta 0.25 mg/500 mg
NIMULID SAFE 75MG,Nemunac 100mg,Nimulax-P
Themicaine Jelly,Xylox 2%,Themidol 50mg/ml
Sufran,Emeran 8mg,Sufrate P
Nazovea Oral,Exkof Ccf,Nazovea
Cefibio 200mg,Mintocef 50mg Dry,Fimial-MX
Dicloserra 50 mg/10 mg,Zipflam 50mg/10mg,Spasmo Forte 20 mg/50 mg
Afecox 100 mg/325 mg,Nykos-SP,Hifezol
Nobel,Nimtaz 100mg,Nobel Spas New
Redugesic P,Asirest-MR,Parataj 650mg/30mg
Goxime 100mg,Ceftol 100mg,Goxim CV Dry
Aulcer OS,Sucranist O Oral Suspension Sugar Free,Aulcer D 30mg/40mg
Trifix 50mg,Myzolix 100mg Dry,Trifix 200
Wodocef 1000mg,Spinocef 500mg,Wodocet AG
Anex 100mg,Ceficon 100mg,Cucif LB 200mg
Ace Plus 100mg/325mg,Auxidol P 100mg/325mg,Ace Plus Oral
Cefcon 250mg,Corcef 500mg,Cefcon
Acegrand Plus,Kvlock-SP,Acegrow-SR
Onace 4mg,Danset,Onace SP
Cepoxit CX 250mg,HG Cef 250mg,Srocef S 1000mg/500mg
Zextron 4mg,Vomset,Zextra
Chimal 500mg,Molra 650mg,Chimal 75mg
Sucain,Mac OS,Sucaine Oral
Amicold Plus,Ercold-DS Oral Suspension Orange,Amicom 500mg
Cipmol 650,Betagesic 125mg,Cipmolnu 200
Jencef 1000mg,Ancef 500mg,Jencef SS 1000mg/500mg
Aclocare PS,Troyace 100mg/325mg,Miximox 250 mg/NA
Gesicell 200mg,Nefo 200mg,Gesicmol-MR
Zrepag Rapid 1mg/0.3mg,Zrepag MF 2mg/500mg,Zrepag Rapid 0.5mg/0.3mg
Aceleo P 100mg/500mg,Pesak-SP,ACELEX 500 MG
Curixime 200mg,Avixim 200,Curixime O 200mg/200mg
Solvin Cough Syrup Sugar Free,HH Linctus Cough,Solvin Cold AF
Pinex 500mg,Prodol 125mg/5ml,Pam TH 500mg/4mg
Odyflex,Acenaac Plus 100mg/325mg,Audifen TH 100mg/4mg
Isofenac P 100mg/325mg,Aclocare PS,Isofeel 30 Softgel
Wincold Junior Cold Relief,Coriphen Plus,Wincon 200mg
Varnac-SP,Acilex Plus,Varnac-SR
Raxim 250mg,Scortax 200mg,Raxim 500mg
Dpmol A 100mg/500mg,Osifenac-SP,Nimunice P 100mg/325mg
Cefdum 500mg,Theotrax 250mg,Cefdum 100mg
Gudgesic AA,Jetace 100 mg/500 mg,Gudgesic TH 100mg/4mg
Zaminol P 100mg/325mg,Avopact-S,Robinaxol 350mg/250mg
Broadcef S 1000mg/500mg,Unizone S 250mg/125mg,Broadbact 100mg
Cewar 50mg,Warzone 1000mg,Elores 1.5gm
Zoxin S 1000 mg/500 mg,Trialex-SB 1gm/0.5gm,Zoxin 25mg
Acen-P 100mg/500mg,Combisence-SP,Koldar
Cefivew 250,Konet 1000mg,Cefivir-S 1.5gm
Pace 100mg,Grenac 200mg,Pace 100mg/500mg
Diclovis S 50mg/10mg,Lizar D 50mg/10mg,Tidol Forte
Vindcef 200,Ceqiz 200 DT,Laycef LZ 200mg/600mg
Acezit-SR,Advark 200mg,Acezit-MR
StayHappi Ondansetron 2mg,Onmust-MD,StayHappi Quetiapine 25mg
Inicef 1000mg,Indocef 1000mg,Inicef S 250mg/125mg
Regdol-SP,Modace 100mg/500mg,Regdol-TZ
Adocef 250mg,Cefxi 125mg,XL V 2000 mg/1000 mg
Ayracef 200mg,Rixit 200mg,Ayracef LB 200mg
Axocef 250mg,Axone 1000mg,Axocef S 500mg/250mg
Mefan Forte 500mg/325mg,Moveran PM,Mefan 500mg
Recocept 500mg,Varnceft 500mg,Recocin 500mg
Solecef 500,Ceftasar 1000mg,Solecef-Plus 1500mg
Clogip Plus,Rovate-GM Neo,Clogis 0.25mg
Mkcef 50mg Dry,Zunix 100mg,Mkcef LB 200mg
Kexone 250mg,Trone 500mg,Kexone S 1000mg/500mg
